Date,Open,High,Low,Close,Volume,Adj Close
2020/4/13,29.01,29.8,28.31,28.86,1875,28.86
2020/4/10,29.3,29.95,28.9,29.01,157944,29.01
2020/4/9,29.45,29.98,29.21,29.3,37584,29.3
2020/4/8,29.38,30.65,29.36,29.45,3003,29.45
2020/4/7,29.33,30.65,28,29.38,45589,29.38
2020/4/3,29.41,30.3,29.21,29.33,325065,29.33
2020/4/2,29.35,30,28.66,29.41,35495,29.41
2020/4/1,29.58,30.25,29.2,29.35,338482,29.35
2020/3/31,29.52,31,29.3,29.58,218346,29.58
2020/3/30,29.69,30.6,29.4,29.52,113645,29.52
2020/3/27,29.49,30.3,29.01,29.69,187563,29.69
2020/3/26,29.86,31.48,28,29.49,4597,29.49
2020/3/25,29.8,30.48,29.5,29.86,2502,29.86
2020/3/24,30.04,31.6,28.56,29.8,4774,29.8
2020/3/23,30.2,30.58,29.51,30.04,1243,30.04
2020/3/20,30.18,30.5,28,30.2,5397,30.2
2020/3/19,30.18,30.6,28,30.18,1894,30.18
2020/3/18,29.84,31.49,28,30.18,1953,30.18
2020/3/17,29.92,31.5,27.65,29.84,29407,29.84
2020/3/16,29.98,30.69,29.75,29.92,1801,29.92
2020/3/13,29.93,30.88,28.88,29.98,17137,29.98
2020/3/12,30,30.95,28.6,29.93,76984,29.93
2020/3/11,30.34,30.8,29.11,30,16664,30
2020/3/10,30.36,30.88,28,30.34,6551,30.34
2020/3/9,30.73,31.2,30.01,30.36,31432,30.36
2020/3/6,30.06,30.98,29.11,30.73,12801,30.73
2020/3/5,30.84,30.8,29.51,30.06,25958,30.06
2020/3/4,30.1,31.49,29,30.84,10294,30.84
2020/3/3,30.02,30.8,29.01,30.1,9994,30.1
2020/3/2,30.22,30.85,28.6,30.02,468842,30.02
2020/2/28,29.68,30.85,28.77,30.22,485221,30.22
2020/2/27,28.99,30,28.44,29.68,426880,29.68
2020/2/26,28.67,29.78,27.55,28.99,426192,28.99
2020/2/25,28.67,30,28,28.67,531563,28.67
2020/2/24,28.73,29.93,27,28.67,413011,28.67
2020/2/21,28.47,29.16,28.47,28.73,412234,28.73
2020/2/20,27.23,28.99,27.66,28.47,8342,28.47
2020/2/19,28.38,29.5,27.02,27.23,44347,27.23
2020/2/18,28.56,29.28,27.8,28.38,2384,28.38
2020/2/17,29.23,29.79,28.12,28.56,5401,28.56
2020/2/14,28.51,29.92,27.2,29.23,18188,29.23
2020/2/13,28.52,29.48,28.01,28.51,2718,28.51
2020/2/12,28.17,29.5,27.2,28.52,17259,28.52
2020/2/11,28.73,29.46,27,28.17,13860,28.17
2020/2/10,27.15,29.87,28.21,28.73,3368,28.73
2020/1/23,26.67,29.34,26.89,27.15,135430,27.15
2020/1/22,27.06,29.5,26.66,26.67,115824,26.67
2020/1/21,28.83,30.8,26.65,27.06,39369,27.06
2020/1/20,28.75,30.5,28.13,28.83,19227,28.83
2020/1/17,28.64,29.3,28.71,28.75,1869,28.75
2020/1/16,28.36,29.36,28.12,28.64,67200,28.64
2020/1/15,30.16,29.4,28,28.36,4844,28.36
2020/1/14,29.11,30.66,28.1,30.16,2814,30.16
2020/1/13,28.99,31.66,29,29.11,25366,29.11
2020/1/10,28.93,29,28.25,28.99,11100,28.99
2020/1/9,28.97,29.19,28.7,28.93,16460,28.93
2020/1/8,29.23,29.47,27,28.97,1939,28.97
2020/1/7,28.43,29.5,28.8,29.23,2700,29.23
2020/1/6,28.4,29.5,27.15,28.43,6502,28.43
2020/1/3,28.03,28.66,28.2,28.4,2485,28.4
2020/1/2,27.88,30,28,28.03,6225,28.03
2019/12/31,28.01,29.18,25.6,27.88,134298,27.88
2019/12/30,27.34,28.5,27.92,28.01,105160,28.01
2019/12/27,27.26,27.86,27.32,27.34,32974,27.34
2019/12/26,27.52,28.5,27.2,27.26,104779,27.26
2019/12/25,27.19,28,27.27,27.52,251572,27.52
2019/12/24,27.07,27.5,26.4,27.19,309086,27.19
2019/12/23,26.58,27.28,26.55,27.07,192211,27.07
2019/12/20,26.35,27.18,26.5,26.58,373519,26.58
