Date,Open,High,Low,Close,Volume,Adj Close
2020/4/9,24.20,25.79,24.20,25.12,2201,25.12
2020/4/8,25.41,25.41,25.41,25.41,0,25.41
2020/4/7,27.55,27.55,24.62,25.41,555,25.41
2020/4/1,27.93,27.93,25.01,25.89,251,25.89
2020/3/31,27.34,27.34,27.34,27.34,0,27.34
2020/3/31,27.49,27.49,24.03,25.96,1230,25.96
2020/3/27,27.34,27.34,27.34,27.34,0,27.34
2020/3/26,27.34,27.34,27.34,27.34,0,27.34
2020/3/25,27.34,27.34,27.34,27.34,0,27.34
2020/3/24,27.34,27.34,27.34,27.34,0,27.34
2020/3/23,27.34,27.34,27.34,27.34,0,27.34
2020/3/20,27.34,27.34,27.34,27.34,0,27.34
2020/3/19,27.34,27.34,27.34,27.34,0,27.34
2020/3/18,27.34,27.34,27.34,27.34,0,27.34
2020/3/17,27.34,27.34,27.34,27.34,0,27.34
2020/3/16,27.34,27.34,27.34,27.34,0,27.34
2020/3/13,27.34,27.34,27.34,27.34,0,27.34
2020/3/12,27.34,27.34,27.34,27.34,0,27.34
2020/3/11,27.34,27.34,27.34,27.34,0,27.34
2020/3/10,27.34,27.34,27.34,27.34,0,27.34
2020/3/9,27.34,27.34,27.34,27.34,0,27.34
2020/3/6,27.34,27.34,27.34,27.34,0,27.34
2020/3/5,27.34,27.34,27.34,27.34,0,27.34
2020/3/4,27.34,27.34,27.34,27.34,0,27.34
2020/3/3,27.34,27.34,27.34,27.34,0,27.34
2020/3/2,27.34,27.34,27.34,27.34,0,27.34
2020/2/28,27.34,27.34,27.34,27.34,0,27.34
2020/2/27,27.34,27.34,27.34,27.34,0,27.34
2020/2/26,27.34,27.34,27.34,27.34,0,27.34
2020/2/25,27.34,27.34,27.34,27.34,0,27.34
2020/2/24,27.34,27.34,27.34,27.34,0,27.34
2020/2/21,27.34,27.34,27.34,27.34,0,27.34
2020/2/20,27.34,27.34,27.34,27.34,0,27.34
