Date,Open,High,Low,Close,Volume,Adj Close
2020/4/28,44.55,44.55,44.55,44.55,68,44.55
2020/4/27,49.50,49.50,49.50,49.50,2049,49.50
2020/4/24,46.00,46.00,46.00,46.00,428,46.00
2020/4/23,42.00,42.00,42.00,42.00,0,42.00
2020/4/22,42.00,42.00,42.00,42.00,0,42.00
2020/4/21,42.00,42.00,42.00,42.00,100,42.00
2020/4/20,32.50,39.00,32.50,39.00,3160,39.00
2020/4/17,36.00,36.00,36.00,36.00,0,36.00
2020/4/16,36.00,36.00,36.00,36.00,250,36.00
2020/4/15,39.60,39.60,39.60,39.60,0,39.60
2020/4/14,39.60,39.60,39.60,39.60,23,39.60
2020/4/13,40.50,40.50,40.50,40.50,0,40.50
2020/4/10,40.50,40.50,40.50,40.50,100,40.50
2020/4/9,44.00,44.00,44.00,44.00,100,44.00
2020/4/8,48.88,48.88,48.88,48.88,3110,48.88
2020/4/7,44.50,44.50,44.50,44.50,50,44.50
2020/4/3,42.00,42.00,42.00,42.00,0,42.00
2020/4/2,33.00,39.00,33.00,39.00,3850,39.00
2020/4/1,36.01,36.01,36.01,36.01,0,36.01
2020/3/31,36.01,36.01,36.01,36.01,1000,36.01
2020/3/30,40.00,40.00,40.00,40.00,0,40.00
2020/3/27,40.00,40.00,40.00,40.00,1,40.00
2020/3/26,44.00,44.00,44.00,44.00,4550,44.00
2020/3/25,44.00,44.00,44.00,44.00,1,44.00
2020/3/24,40.54,40.54,40.54,40.54,1,40.54
2020/3/23,36.85,36.85,36.85,36.85,2,36.85
2020/3/20,33.50,33.50,33.50,33.50,4800,33.50
2020/3/19,36.66,36.66,36.66,36.66,0,36.66
2020/3/18,36.66,36.66,36.66,36.66,1550,36.66
2020/3/17,47.80,47.80,40.00,40.00,6430,40.00
2020/3/16,43.50,43.50,43.50,43.50,20,43.50
2020/3/13,40.00,40.00,40.00,40.00,20,40.00
2020/3/12,38.50,38.50,38.50,38.50,20,38.50
2020/3/11,35.00,35.00,35.00,35.00,6656,35.00
2020/3/10,38.51,38.51,38.51,38.51,0,38.51
2020/3/9,38.51,38.51,38.51,38.51,1919,38.51
2020/3/6,42.00,42.00,42.00,42.00,20,42.00
2020/3/5,45.00,45.00,45.00,45.00,0,45.00
2020/3/4,40.95,40.95,45.00,45.00,8586,45.00
2020/3/3,46.18,46.18,46.18,46.18,20,46.18
2020/3/2,41.89,41.89,41.89,41.89,0,41.89
2020/2/28,41.98,41.98,41.98,41.98,1,41.98
2020/2/27,38.16,38.16,38.16,38.16,1,38.16
2020/2/26,34.69,34.69,34.69,34.69,1,34.69
2020/2/25,31.54,31.54,31.54,31.54,0,31.54
2020/2/24,35.00,35.00,31.53,31.54,10649,31.54
2020/2/21,35.03,35.03,35.03,35.03,0,35.03
2020/2/20,35.03,35.03,35.03,35.03,0,35.03
2020/2/19,35.03,35.03,35.03,35.03,0,35.03
2020/2/18,35.03,35.03,35.03,35.03,0,35.03
2020/2/17,35.03,35.03,35.03,35.03,0,35.03
2020/2/14,35.03,35.03,35.03,35.03,0,35.03
2020/2/13,35.03,35.03,35.03,35.03,0,35.03
2020/2/12,35.03,35.03,35.03,35.03,0,35.03
2020/2/11,35.03,35.03,35.03,35.03,0,35.03
2020/2/10,35.03,35.03,35.03,35.03,0,35.03
2020/1/23,35.03,35.03,35.03,35.03,0,35.03
2020/1/22,35.03,35.03,35.03,35.03,1,35.03
2020/1/21,37.14,37.14,37.14,37.14,0,37.14
2020/1/20,37.80,37.80,35.50,37.14,7,37.14
2020/1/17,37.85,37.85,37.85,37.85,0,37.85
2020/1/16,37.85,37.85,37.85,37.85,0,37.85
2020/1/15,37.85,37.85,37.85,37.85,59,37.85
2020/1/14,48.50,48.50,42.00,42.00,10758,42.00
2020/1/13,44.14,44.14,44.14,44.14,100,44.14
2020/1/10,33.00,40.13,33.00,40.13,9857,40.13
2020/1/9,36.48,36.48,36.48,36.48,1000,36.48
2020/1/8,40.50,40.50,40.50,40.50,0,40.50
2020/1/7,40.50,40.50,40.50,40.50,1,40.50
2020/1/6,44.98,44.98,44.98,44.98,0,44.98
2020/1/3,44.98,44.98,44.98,44.98,1,44.98
2020/1/2,49.98,49.98,49.98,49.98,9859,49.98
2019/12/31,45.95,45.95,45.95,45.95,1000,45.95
2019/12/30,41.80,41.80,41.80,41.80,10799,41.80
2019/12/27,40.35,40.35,40.35,40.35,0,40.35
2019/12/26,40.35,40.35,40.35,40.35,0,40.35
2019/12/25,40.35,40.35,40.35,40.35,0,40.35
2019/12/24,40.35,40.35,40.35,40.35,0,40.35
2019/12/23,40.35,40.35,40.35,40.35,0,40.35
2019/12/20,40.35,40.35,40.35,40.35,0,40.35
2019/12/19,40.35,40.35,40.35,40.35,0,40.35
2019/12/18,40.35,40.35,40.35,40.35,0,40.35
2019/12/17,40.35,40.35,40.35,40.35,0,40.35
2019/12/16,40.35,40.35,40.35,40.35,0,40.35
2019/12/13,40.35,40.35,40.35,40.35,0,40.35
2019/12/12,40.35,40.35,40.35,40.35,0,40.35
2019/12/11,38.01,44.00,38.01,40.35,5900,40.35
2019/12/10,42.00,42.00,42.00,42.00,0,42.00
2019/12/9,42.00,42.00,42.00,42.00,3598,42.00
2019/11/28,45.99,47.00,44.00,45.22,27806,45.22
2019/11/27,45.50,45.50,44.89,45.00,84583,45.00
2019/11/26,45.50,45.50,44.76,44.96,77605,44.96
2019/11/25,45.88,46.00,44.80,44.99,47242,44.99
2019/11/22,44.00,45.50,44.00,45.49,61718,45.49
2019/11/20,44.00,44.00,44.00,44.53,353655,44.53
2019/11/19,44.20,44.50,44.00,44.00,44489,44.00
2019/11/18,44.97,44.97,44.00,44.00,91245,44.00
2019/11/15,41.00,47.00,40.50,44.21,187456,44.21
2019/11/14,44.86,44.86,41.00,44.13,33270,44.13
2019/11/13,41.01,44.88,41.01,43.40,12841,43.40
2019/11/12,44.97,44.98,44.96,44.97,10864,44.97
2019/11/11,42.01,45.50,42.01,44.39,13346,44.39
2019/11/8,46.69,46.69,46.39,46.48,2638,46.48
2019/11/7,44.00,44.00,44.00,44.00,20000,44.00
2019/11/6,46.99,47.25,43.30,46.77,19330,46.77
2019/11/5,43.00,43.00,43.00,43.00,0,43.00
2019/11/4,43.00,43.00,43.00,43.00,1,43.00
2019/11/1,39.78,39.78,39.78,39.78,2,39.78
2019/10/31,36.16,36.16,36.16,36.16,0,36.16
2019/10/30,36.16,36.16,36.16,36.16,22928,36.16
2019/10/29,40.06,43.00,40.06,40.07,2560,40.07
2019/10/28,44.50,44.50,44.50,44.50,4429,44.50
2019/10/25,44.90,44.94,44.90,44.92,5000,44.92
2019/10/24,44.88,44.95,44.88,44.92,8052,44.92
2019/10/23,41.01,44.95,41.01,44.64,11158,44.64
2019/10/22,44.25,45.00,44.50,44.73,11000,44.73
2019/10/21,45.00,45.00,44.50,44.64,7000,44.64
2019/10/18,43.60,44.00,43.50,43.95,4870,43.95
2019/10/17,43.01,43.01,43.01,43.01,100,43.01
2019/10/16,48.00,48.00,43.00,47.79,23928,47.79
2019/10/15,46.51,46.51,43.00,45.17,4860,45.17
