Date,Open,High,Low,Close,Volume,Adj Close
2020/4/28,19.00,19.00,19.00,19.00,270,19.00
2020/4/27,18.60,18.60,18.60,18.60,285,18.60
2020/4/24,18.00,18.00,18.00,18.00,256,18.00
2020/4/23,18.50,18.50,18.50,18.50,246,18.50
2020/4/22,18.30,18.30,18.30,18.30,300,18.30
2020/4/21,18.80,18.80,18.80,18.80,310,18.80
2020/4/20,18.60,18.60,18.60,18.60,130,18.60
2020/4/17,19.00,19.00,19.00,19.00,200,19.00
2020/4/16,19.00,19.00,19.00,19.00,330,19.00
2020/4/15,18.50,18.50,18.50,18.50,347,18.50
2020/4/14,19.20,19.20,19.20,19.20,160,19.20
2020/4/13,19.00,19.00,19.00,19.00,187,19.00
2020/4/10,19.50,19.50,19.50,19.50,336,19.50
2020/4/9,19.80,19.80,19.80,19.80,335,19.80
2020/4/8,20.50,20.50,20.50,20.50,316,20.50
2020/4/7,20.00,20.00,20.00,20.00,277,20.00
2020/4/2,19.60,19.60,19.60,19.60,280,19.60
2020/4/1,20.00,20.00,20.00,20.00,348,20.00
2020/3/31,19.50,19.50,19.50,19.50,248,19.50
2020/3/30,19.00,19.00,19.00,19.00,200,19.00
2020/3/27,18.50,18.50,18.50,18.50,300,18.50
2020/3/26,18.30,18.30,18.30,18.30,366,18.30
2020/3/25,18.50,18.50,18.50,18.50,296,18.50
2020/3/24,18.00,18.00,18.00,18.00,285,18.00
2020/3/23,18.20,18.20,18.20,18.20,270,18.20
2020/3/20,18.00,18.00,18.00,18.00,300,18.00
2020/3/19,17.20,17.20,17.20,17.20,335,17.20
2020/3/18,17.00,17.00,17.00,17.00,333,17.00
2020/3/17,17.80,17.80,17.80,17.80,305,17.80
2020/3/16,17.50,17.50,17.50,17.50,322,17.50
2020/3/12,17.00,17.00,17.00,17.00,350,17.00
2020/3/11,17.00,17.00,17.00,17.00,342,17.00
2020/3/10,16.60,16.60,16.60,16.60,260,16.60
2020/3/9,16.50,16.50,16.50,16.50,280,16.50
2020/3/6,16.70,16.70,16.70,16.70,330,16.70
2020/3/5,16.45,16.45,16.45,16.45,340,16.45
2020/3/4,16.80,16.80,16.80,16.80,275,16.80
2020/3/3,17.30,17.30,17.30,17.30,250,17.30
2020/3/2,17.00,17.00,17.00,17.00,350,17.00
2020/2/28,16.50,16.50,16.50,16.50,240,16.50
2020/2/27,16.33,16.33,16.33,16.33,300,16.33
2020/2/26,16.00,16.00,16.00,16.00,200,16.00
2020/1/21,15.15,15.15,15.15,15.15,320,15.15
2020/1/20,15.00,15.00,15.00,15.00,380,15.00
2020/1/16,15.20,15.20,15.20,15.20,405,15.20
2020/1/15,15.80,15.80,15.80,15.80,400,15.80
2020/1/14,16.60,16.60,16.60,16.60,410,16.60
2020/1/13,16.50,16.50,16.50,16.50,255,16.50
2020/1/10,16.00,16.00,16.00,16.00,247,16.00
2020/1/8,15.70,15.70,15.70,15.70,125,15.70
2020/1/7,16.00,16.00,16.00,16.00,300,16.00
2020/1/6,15.50,15.50,15.50,15.50,415,15.50
2020/1/3,15.60,15.60,15.60,15.60,350,15.60
2020/1/2,15.80,15.80,15.80,15.80,400,15.80
2019/12/31,15.40,15.40,15.40,15.40,0,15.40
