Date,Open,High,Low,Close,Volume,Adj Close
2020/4/22,85.43,85.43,85.43,85.43,184,85.43
2020/4/17,86.17,86.17,86.17,86.17,111,86.17
2020/4/16,85.37,85.37,85.37,85.37,72,85.37
2020/4/10,86.8,86.8,86.8,86.8,106,86.8
2020/4/7,87.2,87.2,87.2,87.2,133,87.2
2020/4/1,86.7,86.7,86.7,86.7,105,86.7
2020/3/27,86.3,86.3,86.3,86.3,100,86.3
2020/3/25,86.33,86.33,86.33,86.33,230,86.33
2020/3/24,87,87,87,87,5500,87
2020/3/23,85.6,85.6,85.6,85.6,205,85.6
2020/3/20,84.72,84.72,84.72,84.72,4700,84.72
2020/3/18,83.97,83.97,83.97,83.97,6975,83.97
2020/3/17,86.1,86.1,86.1,86.1,475,86.1
2020/3/13,84.4,84.4,84.4,84.4,600,84.4
2020/3/12,81,81,81,81,1000,81
2020/3/11,68,68,68,68,300,68
2020/2/18,84.5,84.5,84.5,84.5,1,84.5
2020/1/9,84.5,84.5,84.5,84.5,350,84.5
2020/1/8,80.1,80.1,80.1,80.1,300,80.1
2020/1/7,76.2,76.2,76.2,76.2,400,76.2
2020/1/6,73.1,73.1,73.1,73.1,487,73.1
2019/12/31,70,70,70,70,1024,70
2019/12/30,68.7,68.7,68.7,68.7,1000,68.7
2019/12/27,75,75,75,75,873,75
2019/12/25,82.8,82.8,82.8,82.8,4242,82.8
2019/12/23,75.82,75.82,75.82,75.82,5910,75.82
2019/12/20,77,77,77,77,80,77
2019/12/19,76,76,76,76,84,76
2019/12/18,75.15,75.15,75.15,75.15,6620,75.15
2019/12/17,71.26,71.26,71.26,71.26,3619,71.26
2019/12/16,61.93,61.93,61.93,61.93,28000,61.93
2019/12/13,60,60,60,60,1,60
2019/12/12,74.66,74.66,74.66,74.66,9215,74.66
2019/12/11,76.48,76.48,76.48,76.48,14315,76.48
2019/12/10,75.38,75.38,75.38,75.38,780,75.38
2019/12/4,74.98,74.98,74.98,74.98,13100,74.98
2019/12/3,72.11,72.11,72.11,72.11,9500,72.11
2019/12/2,66,66,66,66,500,66
2019/11/28,55.1,55.1,55.1,55.1,3319,55.1
2019/11/27,53.18,53.18,53.18,53.18,27227,53.18
2019/11/26,53.88,53.88,53.88,53.88,23877,53.88
2019/11/25,55.1,55.1,55.1,55.1,21424,55.1
2019/11/22,48.4,48.4,48.4,48.4,15686,48.4
2019/11/21,60.5,60.5,60.5,60.5,280,60.5
2019/11/19,67.2,67.2,67.2,67.2,425,67.2
2019/10/22,84,84,84,84,100,84
2019/10/21,76,76,76,76,1,76
2019/10/18,81.4,81.4,81.4,81.4,4,81.4
2019/10/16,87.3,87.3,87.3,87.3,3251,87.3
2019/10/15,86.49,86.49,86.49,86.49,3220,86.49
2019/10/10,86.71,86.71,86.71,86.71,4910,86.71
2019/10/9,86.5,86.5,86.5,86.5,266,86.5
2019/9/30,87.17,87.17,87.17,87.17,4339,87.17
2019/9/27,86.73,86.73,86.73,86.73,15333,86.73
2019/9/26,86.25,86.25,86.25,86.25,14364,86.25
2019/9/25,86.4,86.4,86.4,86.4,4856,86.4
2019/9/24,86.9,86.9,86.9,86.9,5570,86.9
2019/9/23,86.68,86.68,86.68,86.68,5282,86.68
2019/9/20,86.58,86.58,86.58,86.58,14765,86.58
2019/9/19,86.31,86.31,86.31,86.31,65997,86.31
2019/9/18,87.5,87.5,87.5,87.5,2353,87.5
2019/9/17,86.49,86.49,86.49,86.49,20346,86.49
2019/9/16,86.72,86.72,86.72,86.72,32026,86.72
2019/9/12,87.2,87.2,87.2,87.2,5158,87.2
2019/9/11,86.18,86.18,86.18,86.18,54199,86.18
2019/9/10,86.9,86.9,86.9,86.9,216,86.9
2019/9/6,86.4,86.4,86.4,86.4,6780,86.4
2019/9/5,86.76,86.76,86.76,86.76,11887,86.76
2019/9/4,86.5,86.5,86.5,86.5,200,86.5
2019/9/3,85.58,85.58,85.58,85.58,77,85.58
2019/9/2,83.66,83.66,83.66,83.66,11816,83.66
2019/8/30,82.81,82.81,82.81,82.81,72419,82.81
2019/8/29,86.95,86.95,86.95,86.95,137749,86.95
2019/8/28,87.01,87.01,87.01,87.01,116973,87.01
2019/8/27,87,87,87,87,79328,87
2019/8/26,86.96,86.96,86.96,86.96,103584,86.96
2019/8/23,86.95,86.95,86.95,86.95,23340,86.95
2019/8/22,86.91,86.91,86.91,86.91,49119,86.91
2019/8/21,86.47,86.47,86.47,86.47,93218,86.47
2019/8/20,86.57,86.57,86.57,86.57,95752,86.57
2019/8/19,85.1,85.1,85.1,85.1,58496,85.1
2019/8/16,85.95,85.95,85.95,85.95,88726,85.95
2019/8/15,86.94,86.94,86.94,86.94,73021,86.94
2019/8/14,87.06,87.06,87.06,87.06,48879,87.06
2019/8/13,87.36,87.36,87.36,87.36,26739,87.36
2019/8/12,86.87,86.87,86.87,86.87,22809,86.87
2019/8/9,86.98,86.98,86.98,86.98,10242,86.98
2019/8/8,85.93,85.93,85.93,85.93,26790,85.93
2019/8/7,86.79,86.79,86.79,86.79,44396,86.79
2019/8/6,87.17,87.17,87.17,87.17,32629,87.17
2019/8/5,87.48,87.48,87.48,87.48,84378,87.48
2019/8/2,87.2,87.2,87.2,87.2,22928,87.2
2019/8/1,83.92,83.92,83.92,83.92,25061,83.92
2019/7/31,87.4,87.4,87.4,87.4,200,87.4
2019/7/30,87.24,87.24,87.24,87.24,38803,87.24
2019/7/29,87.08,87.08,87.08,87.08,7556,87.08
2019/7/26,86.86,86.86,86.86,86.86,32464,86.86
2019/7/25,86.14,86.14,86.14,86.14,36533,86.14
2019/7/24,87.26,87.26,87.26,87.26,36998,87.26
2019/7/23,87.43,87.43,87.43,87.43,30787,87.43
2019/7/22,87.34,87.34,87.34,87.34,37761,87.34
