Date,Value
2008-3-26,21.89
2008-3-27,21.88
2008-3-28,21.59
2008-3-29,21.05
2008-4-1,21.57
2008-4-2,22.02
2008-4-3,22.4
2008-4-4,23.05
2008-4-5,22.72
2008-4-8,23.25
2008-4-9,23.27
2008-4-10,23.24
2008-4-11,23.87
2008-4-12,23.87
2008-4-15,24.6
2008-4-16,24.78
2008-4-17,24.78
2008-4-18,24.29
2008-4-19,24.02
2008-4-22,24.84
2008-4-23,24.91
2008-4-24,24.6
2008-4-25,24.6
2008-4-26,24.27
2008-4-29,24.32
2008-4-30,23.74
2008-5-1,23.85
2008-5-3,23.86
2008-5-6,24.83
2008-5-7,24.82
2008-5-8,24.85
2008-5-9,24.78
2008-5-10,24.69
2008-5-14,24.46
2008-5-15,24.08
2008-5-16,24.6
2008-5-17,24.36
2008-5-20,24.83
2008-5-21,24.85
2008-5-22,25.12
2008-5-23,25.45
2008-5-24,25.37
2008-5-27,25.7
2008-5-28,25.98
2008-5-29,25.87
2008-5-30,26.05
2008-5-31,26.7
2008-6-3,25.18
2008-6-4,26.68
2008-6-5,26.28
2008-6-6,26.06
2008-6-7,27.05
2008-6-10,27.05
2008-6-11,26.77
2008-6-12,26.71
2008-6-13,26.62
2008-6-14,26.42
2008-6-17,27.24
2008-6-18,26.77
2008-6-19,26.94
2008-6-20,27.08
2008-6-21,26.74
2008-6-24,27.3
2008-6-25,27.3
2008-6-26,27.08
2008-6-27,27.28
2008-6-28,27.7
2008-7-1,28.25
2008-7-2,28.75
2008-7-3,27.2
2008-7-4,27.18
2008-7-5,27.1
2008-7-8,27.05
2008-7-9,25.5
2008-7-10,25.67
2008-7-11,26.35
2008-7-12,27
2008-7-15,26.82
2008-7-16,26.48
2008-7-17,24.73
2008-7-18,25.3
2008-7-19,24.1
2008-7-22,24.28
2008-7-23,24.31
2008-7-24,24.33
2008-7-25,24.76
2008-7-26,24.56
2008-7-29,24.17
2008-7-30,23.23
2008-7-31,22.1
2008-8-1,21.63
2008-8-2,21
2008-8-5,20.96
2008-8-6,21.3
2008-8-7,22.1
2008-8-8,22.57
2008-8-9,22.25
2008-8-12,22.31
2008-8-13,23.13
2008-8-14,23.53
2008-8-15,23.11
2008-8-16,22.75
2008-8-19,23.29
2008-8-20,23.36
2008-8-21,24.1
2008-8-22,24.36
2008-8-23,24.27
2008-8-26,24.03
2008-8-27,24.43
2008-8-28,24.89
2008-8-29,24.85
2008-8-30,24.88
2008-9-2,24.65
2008-9-3,24.4
2008-9-4,24.31
2008-9-5,24.49
2008-9-6,24.12
2008-9-9,23.99
2008-9-10,22.75
2008-9-11,22.56
2008-9-12,22.95
2008-9-13,23.6
2008-9-16,22.8
2008-9-17,22.54
2008-9-18,23.11
2008-9-19,23.36
2008-9-20,24.36
2008-9-23,24.67
2008-9-24,24.87
2008-9-25,24.37
2008-9-26,24.47
