Date,Open,High,Low,Close,Volume,Adj Close
2020/2/17,9.10,9.10,9.10,9.10,1,9.10
2020/2/14,8.27,8.27,8.27,8.27,10000,8.27
2020/2/13,9.19,9.19,9.19,9.19,100,9.19
2020/2/12,10.21,10.21,10.21,10.21,100,10.21
2020/2/11,11.34,11.34,11.34,11.34,100,11.34
2020/2/10,12.60,12.60,12.60,12.60,100,12.60
2019/12/26,14.00,14.00,14.00,14.00,1,14.00
2019/12/20,12.73,12.73,12.73,12.73,1,12.73
2019/12/19,11.57,11.57,11.57,11.57,1,11.57
2019/12/18,10.52,10.52,10.52,10.52,1,10.52
2019/12/5,9.56,9.56,9.56,9.56,3829,9.56
2019/10/17,8.70,8.70,8.70,8.70,15,8.70
2019/10/16,7.91,7.91,7.91,7.91,1,7.91
2019/10/11,7.19,7.19,7.19,7.19,3500,7.19
2019/10/8,7.99,7.99,7.99,7.99,2000,7.99
2019/9/30,8.87,8.87,8.87,8.87,38800,8.87
2019/9/26,9.85,9.85,9.85,9.85,300,9.85
2019/9/25,10.94,10.94,10.94,10.94,500,10.94
2019/9/24,12.16,12.16,12.16,12.16,110,12.16
2019/9/23,13.24,13.24,13.24,13.24,100,13.24
2019/9/18,14.71,14.71,14.71,14.71,10001,14.71
2019/9/17,14.64,14.64,14.64,14.64,10029,14.64
2019/9/16,16.25,16.25,16.25,16.25,21,16.25
2019/9/12,17.94,17.94,17.94,17.94,14100,17.94
2019/9/11,16.34,16.34,16.34,16.34,513,16.34
2019/9/10,18.10,18.10,18.10,18.10,10,18.10
2019/9/9,16.45,16.45,16.45,16.45,1,16.45
2019/9/6,18.28,18.28,18.28,18.28,110,18.28
2019/9/2,16.62,16.62,16.62,16.62,1,16.62
2019/8/30,15.11,15.11,15.11,15.11,101,15.11
2019/8/29,15.03,15.03,15.03,15.03,9920,15.03
2019/8/28,16.38,16.38,16.38,16.38,26521,16.38
2019/8/27,15.98,15.98,15.98,15.98,9900,15.98
2019/8/26,14.53,14.53,14.53,14.53,10001,14.53
2019/8/23,14.93,14.93,14.93,14.93,34490,14.93
2019/8/22,16.57,16.57,16.57,16.57,1,16.57
2019/8/21,15.06,15.06,15.06,15.06,36086,15.06
2019/8/19,14.42,14.42,14.42,14.42,25812,14.42
2019/8/16,16.02,16.02,16.02,16.02,8470,16.02
2019/8/15,16.17,16.17,16.17,16.17,18560,16.17
2019/8/14,16.32,16.32,16.32,16.32,20159,16.32
2019/8/13,16.32,16.32,16.32,16.32,17795,16.32
2019/8/12,15.78,15.78,15.78,15.78,10221,15.78
2019/8/9,17.45,17.45,17.45,17.45,1,17.45
2019/8/8,15.86,15.86,15.86,15.86,120,15.86
2019/8/7,14.64,14.64,14.64,14.64,157,14.64
2019/8/6,13.31,13.31,13.31,13.31,1200,13.31
2019/8/5,12.48,12.48,12.48,12.48,113,12.48
2019/8/2,11.59,11.59,11.59,11.59,1,11.59
2019/8/1,10.54,10.54,10.54,10.54,1,10.54
2019/7/31,9.58,9.58,9.58,9.58,1,9.58
2019/7/30,8.71,8.71,8.71,8.71,213,8.71
2019/7/29,9.68,9.68,9.68,9.68,210,9.68
2019/7/26,10.76,10.76,10.76,10.76,700,10.76
2019/7/25,10.32,10.32,10.32,10.32,1,10.32
2019/7/24,9.38,9.38,9.38,9.38,1,9.38
2019/7/23,8.53,8.53,8.53,8.53,1189,8.53
2019/7/22,9.48,9.48,9.48,9.48,11,9.48
2019/7/19,10.32,10.32,10.32,10.32,19476,10.32
2019/7/18,11.47,11.47,11.47,11.47,1,11.47
2019/7/17,12.74,12.74,12.74,12.74,1,12.74
2019/7/16,14.16,14.16,14.16,14.16,300,14.16
2019/7/15,15.73,15.73,15.73,15.73,1000,15.73
2019/7/12,17.48,17.48,17.48,17.48,19178,17.48
2019/7/10,18.00,18.00,18.00,18.00,2500,18.00
2019/7/8,17.78,17.78,17.78,17.78,8969,17.78
2019/7/5,18.80,18.80,18.80,18.80,1,18.80
2019/7/4,18.96,18.96,18.96,18.96,2742,18.96
2019/7/3,17.98,17.98,17.98,17.98,47967,17.98
2019/7/2,17.51,17.51,17.51,17.51,29528,17.51
2019/7/1,16.85,16.85,16.85,16.85,80591,16.85
2019/6/28,16.56,16.56,16.56,16.56,102557,16.56
2019/6/27,16.82,16.82,16.82,16.82,96834,16.82
2019/6/26,17.53,17.53,17.53,17.53,312709,17.53
2019/6/25,17.62,17.62,17.62,17.62,332202,17.62
2019/6/24,18.22,18.22,18.22,18.22,389450,18.22
2019/6/21,19.49,19.49,19.49,19.49,50901,19.49
2019/6/20,19.74,19.74,19.74,19.74,121000,19.74
2019/6/19,21.45,21.45,21.45,21.45,105183,21.45
2019/6/18,20.67,20.67,20.67,20.67,62599,20.67
2019/6/17,21.02,21.02,21.02,21.02,1,21.02
2019/6/14,23.35,23.35,23.35,23.35,17600,23.35
2019/6/13,22.42,22.42,22.42,22.42,240193,22.42
2019/6/12,22.16,22.16,22.16,22.16,311301,22.16
2019/6/11,22.08,22.08,22.08,22.08,52260,22.08
2019/6/10,20.97,20.97,20.97,20.97,27950,20.97
2019/6/6,20.39,20.39,20.39,20.39,50,20.39
2019/6/5,20.29,20.29,20.29,20.29,1,20.29
2019/6/4,18.86,18.86,18.86,18.86,74051,18.86
2019/6/3,18.75,18.75,18.75,18.75,37980,18.75
2019/5/31,18.51,18.51,18.51,18.51,190805,18.51
2019/5/30,18.96,18.96,18.96,18.96,155825,18.96
2019/5/29,17.68,17.68,17.68,17.68,120077,17.68
2019/5/28,17.54,17.54,17.54,17.54,16623,17.54
2019/5/27,19.08,19.08,19.08,19.08,14500,19.08
2019/5/24,20.71,20.71,20.71,20.71,1,20.71
2019/5/23,23.01,23.01,23.01,23.01,1499,23.01
2019/5/22,21.20,21.20,21.20,21.20,1157,21.20
2019/5/21,19.53,19.53,19.53,19.53,1255,19.53
2019/5/13,17.76,17.76,17.76,17.76,1,17.76
2019/5/10,19.73,19.73,19.73,19.73,10,19.73
2019/5/9,21.92,21.92,21.92,21.92,1,21.92
2019/5/8,24.35,24.35,24.35,24.35,1,24.35
2019/5/7,27.05,27.05,27.05,27.05,1,27.05
2019/4/30,30.05,30.05,30.05,30.05,270,30.05
2019/4/29,30.00,30.00,30.00,30.00,600,30.00
2019/4/26,28.27,28.27,28.27,28.27,3001,28.27
2019/4/25,25.70,25.70,25.70,25.70,1,25.70
2019/4/24,23.36,23.36,23.36,23.36,1,23.36
2019/4/23,21.24,21.24,21.24,21.24,1,21.24
2019/4/22,19.31,19.31,19.31,19.31,1,19.31
2019/4/19,17.55,17.55,17.55,17.55,1,17.55
2019/4/18,15.95,15.95,15.95,15.95,1,15.95
2019/4/17,14.50,14.50,14.50,14.50,1,14.50
2019/4/16,13.18,13.18,13.18,13.18,1,13.18
2019/4/15,11.98,11.98,11.98,11.98,1,11.98
2019/4/12,10.89,10.89,10.89,10.89,1,10.89
2019/4/11,9.90,9.90,9.90,9.90,1,9.90
2019/4/10,9.00,9.00,9.00,9.00,200001,9.00
2019/4/9,8.18,8.18,8.18,8.18,500,8.18
2019/4/8,9.09,9.09,9.09,9.09,8,9.09
2019/4/4,8.26,8.26,8.26,8.26,700,8.26
2019/4/3,9.18,9.18,9.18,9.18,8500,9.18
2019/4/2,10.20,10.20,10.20,10.20,3100,10.20
2019/3/28,11.33,11.33,11.33,11.33,2100,11.33
2019/3/27,12.59,12.59,12.59,12.59,1,12.59
2019/3/26,13.99,13.99,13.99,13.99,1,13.99
2019/3/25,15.54,15.54,15.54,15.54,1,15.54
2019/3/22,17.27,17.27,17.27,17.27,1,17.27
2019/3/21,19.19,19.19,19.19,19.19,280000,19.19
2019/3/20,19.19,19.19,19.19,19.19,1,19.19
2019/3/19,21.32,21.32,21.32,21.32,882,21.32
2019/3/18,19.38,19.38,19.38,19.38,200051,19.38
2019/3/15,21.44,21.44,21.44,21.44,1,21.44
2019/3/14,23.82,23.82,23.82,23.82,800,23.82
2019/3/13,21.65,21.65,21.65,21.65,1,21.65
2019/3/12,24.06,24.06,24.06,24.06,1,24.06
2019/3/11,26.73,26.73,26.73,26.73,1,26.73
2018/12/21,29.70,29.70,29.70,29.70,280000,29.70
2018/12/13,29.70,29.70,29.70,29.70,250000,29.70
2018/11/28,29.70,29.70,29.70,29.70,100,29.70
2018/11/27,27.00,27.00,27.00,27.00,1,27.00
2018/11/20,30.00,30.00,30.00,30.00,200,30.00
2018/11/16,29.00,29.00,29.00,29.00,100,29.00
2018/11/14,26.70,26.70,26.70,26.70,1000,26.70
2018/11/13,24.30,24.30,24.30,24.30,100,24.30
2018/11/12,27.00,27.00,27.00,27.00,127,27.00
2018/11/8,25.00,25.00,25.00,25.00,127,25.00
2018/11/6,23.00,23.00,23.00,23.00,17,23.00
2018/11/2,21.80,21.80,21.80,21.80,17,21.80
2018/10/12,20.00,20.00,20.00,20.00,1,20.00
2018/10/11,19.14,19.14,19.14,19.14,50000,19.14
2018/10/8,20.00,20.00,20.00,20.00,1,20.00
2018/9/12,18.76,18.76,18.76,18.76,99560,18.76
2018/8/22,18.76,18.76,18.76,18.76,1,18.76
2018/8/21,17.05,17.05,17.05,17.05,1,17.05
2018/8/20,15.50,15.50,15.50,15.50,1,15.50
2018/8/17,14.22,14.22,14.22,14.22,1,14.22
2018/8/16,12.93,12.93,12.93,12.93,7870,12.93
2018/8/15,13.72,13.72,13.72,13.72,9485,13.72
2018/8/14,15.24,15.24,15.24,15.24,21854,15.24
2018/8/13,16.60,16.60,16.60,16.60,85677,16.60
2018/8/10,15.76,15.76,15.76,15.76,168019,15.76
2018/8/9,17.33,17.33,17.33,17.33,198491,17.33
2018/8/8,18.23,18.23,18.23,18.23,274501,18.23
2018/8/7,17.08,17.08,17.08,17.08,190822,17.08
2018/8/6,17.76,17.76,17.76,17.76,29752,17.76
2018/8/3,17.74,17.74,17.74,17.74,73328,17.74
2018/8/2,18.40,18.40,18.40,18.40,20220,18.40
2018/8/1,18.61,18.61,18.61,18.61,61356,18.61
2018/7/31,17.97,17.97,17.97,17.97,23089,17.97
2018/7/30,16.47,16.47,16.47,16.47,30502,16.47
2018/7/27,15.95,15.95,15.95,15.95,18999,15.95
2018/7/26,14.50,14.50,14.50,14.50,1,14.50
2018/7/25,14.00,14.00,14.00,14.00,50,14.00
2018/7/24,15.00,15.00,15.00,15.00,400,15.00
2018/7/20,16.00,16.00,16.00,16.00,1,16.00
2018/7/18,17.10,17.10,17.10,17.10,1,17.10
2018/7/17,17.50,17.50,17.50,17.50,100,17.50
2018/7/16,18.09,18.09,18.09,18.09,5,18.09
2018/7/13,18.49,18.49,18.49,18.49,1,18.49
2018/7/11,19.00,19.00,19.00,19.00,23996,19.00
2018/7/10,19.00,19.00,19.00,19.00,10,19.00
2018/7/4,19.50,19.50,19.50,19.50,19300,19.50
2018/6/29,19.50,19.50,19.50,19.50,20000,19.50
2018/6/28,19.60,19.60,19.60,19.60,20000,19.60
2018/6/27,19.80,19.80,19.80,19.80,10000,19.80
2018/6/15,20.01,20.01,20.01,20.01,13045,20.01
