Date,Open,High,Low,Close,Volume,Adj Close
2020-04-13,25.12 ,26.89 ,25.16 ,24.49 ,293 ,24.49 
2020-04-10,25.95 ,27.40 ,23.85 ,25.12 ,433 ,25.12 
2020-04-09,24.41 ,25.79 ,24.20 ,25.95 ,2201 ,25.95 
2020-04-08,25.71 ,27.35 ,25.50 ,24.41 ,565 ,24.41 
2020-04-07,25.69 ,27.55 ,24.62 ,25.71 ,555 ,25.71 
2020-04-03,25.89 ,25.72 ,24.06 ,25.69 ,321 ,25.69 
2020-04-02,25.96 ,27.86 ,25.00 ,25.89 ,241 ,25.89 
2020-04-01,25.50 ,27.93 ,25.01 ,25.96 ,251 ,25.96 
2020-03-31,25.59 ,27.49 ,24.03 ,25.50 ,1230 ,25.50 
2020-03-30,27.38 ,27.32 ,24.05 ,25.59 ,230 ,25.59 
2020-03-27,25.51 ,29.48 ,24.68 ,27.38 ,149 ,27.38 
2020-03-26,25.79 ,27.50 ,22.96 ,25.51 ,13248 ,25.51 
2020-03-25,25.59 ,25.99 ,25.01 ,25.79 ,451 ,25.79 
2020-03-24,27.34 ,27.99 ,23.64 ,25.59 ,124 ,25.59 
2020-03-23,27.51 ,27.34 ,24.62 ,27.34 ,740 ,27.34 
2020-01-23,28.40 ,29.70 ,26.61 ,27.51 ,2061 ,27.51 
2020-01-22,28.77 ,29.99 ,27.31 ,28.40 ,14514 ,28.40 
2020-01-21,27.49 ,28.48 ,26.69 ,28.77 ,4519 ,28.77 
2020-01-20,29.29 ,29.48 ,26.89 ,27.49 ,10965 ,27.49 
2020-01-17,27.44 ,28.98 ,26.62 ,29.29 ,8146 ,29.29 
2020-01-16,27.85 ,29.78 ,25.63 ,27.44 ,26929 ,27.44 
2020-01-15,27.46 ,28.63 ,26.36 ,27.85 ,7575 ,27.85 
2020-01-14,27.84 ,29.80 ,26.57 ,27.46 ,46136 ,27.46 
2020-01-13,27.88 ,28.76 ,26.20 ,27.84 ,11743 ,27.84 
2020-01-10,28.13 ,28.75 ,27.15 ,27.88 ,2938 ,27.88 
2020-01-09,27.03 ,28.31 ,25.50 ,28.13 ,24035 ,28.13 
2020-01-08,28.80 ,28.39 ,27.02 ,27.03 ,5120 ,27.03 
2020-01-07,26.93 ,28.99 ,26.61 ,28.80 ,14188 ,28.80 
2020-01-06,27.96 ,28.80 ,26.90 ,26.93 ,12904 ,26.93 
2020-01-03,26.66 ,28.04 ,26.82 ,27.96 ,116 ,27.96 
2020-01-02,27.86 ,27.96 ,26.52 ,26.66 ,3005 ,26.66 
2019-12-31,26.98 ,28.18 ,26.00 ,27.86 ,146899 ,27.86 
2019-12-30,26.71 ,27.95 ,26.00 ,26.98 ,143655 ,26.98 
2019-12-27,27.00 ,28.27 ,26.58 ,26.71 ,54937 ,26.71 
2019-12-26,27.11 ,27.95 ,25.81 ,27.00 ,43200 ,27.00 
2019-12-25,27.00 ,28.40 ,26.24 ,27.11 ,75426 ,27.11 
2019-12-24,27.09 ,28.20 ,25.66 ,27.00 ,78238 ,27.00 
2019-12-23,26.80 ,27.38 ,26.12 ,27.09 ,26536 ,27.09 
2019-12-20,27.18 ,27.32 ,25.55 ,26.80 ,20500 ,26.80 
2019-12-19,27.33 ,29.89 ,25.72 ,27.18 ,174811 ,27.18 
2019-12-18,27.30 ,27.37 ,25.51 ,27.33 ,6798 ,27.33 
2019-12-17,27.29 ,27.39 ,27.00 ,27.30 ,38169 ,27.30 
2019-12-16,27.22 ,27.48 ,26.01 ,27.29 ,13744 ,27.29 
2019-12-13,27.14 ,27.50 ,25.22 ,27.22 ,41718 ,27.22 
2019-12-12,26.33 ,27.25 ,26.02 ,27.14 ,18451 ,27.14 
2019-12-11,25.30 ,27.14 ,25.32 ,26.33 ,130143 ,26.33 
2019-12-10,25.21 ,26.35 ,24.12 ,25.30 ,81090 ,25.30 
2019-12-09,25.17 ,25.93 ,23.90 ,25.21 ,167573 ,25.21 
2019-12-06,25.02 ,25.95 ,24.45 ,25.17 ,63864 ,25.17 
2019-12-05,25.21 ,25.35 ,23.60 ,25.02 ,136132 ,25.02 
2019-12-04,25.16 ,25.76 ,25.00 ,25.21 ,434921 ,25.21 
2019-12-03,24.74 ,25.88 ,23.01 ,25.16 ,83097 ,25.16 
2019-12-02,24.95 ,25.95 ,24.01 ,24.74 ,99584 ,24.74 
2019-11-29,25.15 ,25.19 ,23.60 ,24.95 ,185071 ,24.95 
2019-11-28,25.30 ,27.41 ,23.10 ,25.15 ,339625 ,25.15 
2019-11-27,25.30 ,25.70 ,22.87 ,25.30 ,114176 ,25.30 
2019-11-26,25.57 ,25.79 ,25.22 ,25.30 ,139871 ,25.30 
2019-11-25,25.76 ,26.50 ,25.01 ,25.57 ,118393 ,25.57 
2019-11-22,25.06 ,25.75 ,25.00 ,25.76 ,96399 ,25.76 
2019-11-21,27.52 ,27.57 ,25.06 ,25.06 ,104928 ,25.06 
2019-11-20,28.59 ,29.50 ,24.78 ,27.52 ,256957 ,27.52 
2019-11-19,28.10 ,30.33 ,26.10 ,28.59 ,98720 ,28.59 
2019-11-18,29.86 ,29.89 ,28.10 ,28.10 ,13195 ,28.10 
2019-11-15,30.79 ,29.80 ,27.00 ,29.86 ,26676 ,29.86 
2019-11-14,28.87 ,31.00 ,29.00 ,30.79 ,49462 ,30.79 
2019-11-13,28.16 ,31.75 ,29.00 ,28.87 ,59182 ,28.87 
2019-11-12,28.99 ,29.49 ,25.50 ,28.16 ,8187 ,28.16 
2019-11-11,28.99 ,31.00 ,26.20 ,28.99 ,12278 ,28.99 
2019-11-09,29.64 ,--,--,28.99 ,--,28.99 
2019-11-08,28.69 ,29.38 ,28.00 ,29.64 ,31423 ,29.64 
2019-11-07,29.60 ,29.94 ,26.06 ,28.69 ,16183 ,28.69 
2019-11-06,30.60 ,30.88 ,27.01 ,29.60 ,2270 ,29.60 
2019-11-05,30.95 ,30.20 ,28.00 ,30.60 ,13592 ,30.60 
2019-11-04,30.06 ,31.47 ,29.01 ,30.95 ,4962 ,30.95 
2019-11-01,30.07 ,31.47 ,27.50 ,30.06 ,1523 ,30.06 
2019-10-31,30.50 ,32.29 ,29.57 ,30.07 ,11452 ,30.07 
2019-10-30,31.04 ,32.99 ,29.10 ,30.50 ,8454 ,30.50 
2019-10-29,32.20 ,34.11 ,28.16 ,31.04 ,28096 ,31.04 
2019-10-28,32.45 ,33.47 ,31.00 ,32.20 ,8427 ,32.20 
2019-10-25,32.45 ,34.30 ,32.00 ,32.45 ,12246 ,32.45 
2019-10-24,32.30 ,32.50 ,30.16 ,32.45 ,12517 ,32.45 
2019-10-23,32.98 ,33.48 ,32.10 ,32.30 ,7770 ,32.30 
2019-10-22,33.22 ,32.98 ,30.53 ,32.98 ,13894 ,32.98 
2019-10-21,32.96 ,35.91 ,30.12 ,33.22 ,117432 ,33.22 
2019-10-18,32.98 ,33.40 ,32.04 ,32.96 ,50509 ,32.96 
2019-10-17,32.78 ,35.38 ,30.33 ,32.98 ,10097 ,32.98 
2019-10-16,32.95 ,33.75 ,31.81 ,32.78 ,464 ,32.78 
2019-10-15,32.12 ,33.92 ,29.88 ,32.95 ,1466 ,32.95 
2019-10-14,32.43 ,34.92 ,32.06 ,32.12 ,537 ,32.12 
2019-10-11,32.13 ,33.97 ,32.11 ,32.43 ,1002 ,32.43 
2019-10-10,33.42 ,33.76 ,31.68 ,32.13 ,25050 ,32.13 
2019-10-09,32.61 ,32.99 ,31.05 ,33.42 ,9335 ,33.42 
2019-10-08,32.85 ,35.40 ,31.00 ,32.61 ,5338 ,32.61 
2019-09-30,32.95 ,33.80 ,29.95 ,32.85 ,2916 ,32.85 
2019-09-27,32.97 ,32.98 ,31.18 ,32.95 ,872 ,32.95 
2019-09-26,32.88 ,35.86 ,31.51 ,32.97 ,3247 ,32.97 
2019-09-25,32.60 ,34.45 ,32.10 ,32.88 ,40 ,32.88 
2019-09-24,32.08 ,34.99 ,29.52 ,32.60 ,37 ,32.60 
2019-09-23,32.65 ,34.78 ,31.91 ,32.08 ,24 ,32.08 
2019-09-20,32.37 ,33.48 ,31.00 ,32.65 ,80206 ,32.65 
2019-09-19,32.95 ,35.39 ,31.50 ,32.37 ,4317 ,32.37 
2019-09-18,32.98 ,33.46 ,32.00 ,32.95 ,27320 ,32.95 
2019-09-17,32.99 ,35.96 ,30.71 ,32.98 ,11908 ,32.98 
2019-09-16,32.65 ,32.99 ,30.52 ,32.99 ,965 ,32.99 
2019-09-12,33.50 ,33.75 ,29.52 ,32.65 ,23801 ,32.65 
2019-09-11,33.89 ,33.49 ,31.64 ,33.50 ,19994 ,33.50 
2019-09-10,33.31 ,33.99 ,32.06 ,33.89 ,15521 ,33.89 
2019-09-09,34.29 ,34.80 ,31.50 ,33.31 ,4702 ,33.31 
2019-09-06,34.89 ,36.26 ,33.00 ,34.29 ,30286 ,34.29 
2019-09-05,34.78 ,35.09 ,33.50 ,34.89 ,56123 ,34.89 
2019-09-04,34.93 ,35.20 ,32.23 ,34.78 ,13680 ,34.78 
2019-09-03,34.57 ,35.97 ,32.04 ,34.93 ,16213 ,34.93 
2019-09-02,34.57 ,35.49 ,34.12 ,34.57 ,71121 ,34.57 
2019-08-30,34.94 ,35.45 ,33.02 ,34.57 ,17485 ,34.57 
2019-08-29,35.29 ,35.34 ,33.01 ,34.94 ,38386 ,34.94 
2019-08-28,35.17 ,35.62 ,34.23 ,35.29 ,5377 ,35.29 
2019-08-27,36.33 ,35.30 ,34.04 ,35.17 ,23068 ,35.17 
2019-08-26,36.48 ,37.30 ,34.22 ,36.33 ,100851 ,36.33 
2019-08-23,35.17 ,39.71 ,33.03 ,36.48 ,22754 ,36.48 
2019-08-22,33.55 ,38.00 ,34.01 ,35.17 ,38898 ,35.17 
2019-08-21,33.51 ,35.79 ,33.00 ,33.55 ,218588 ,33.55 
2019-08-20,32.61 ,34.87 ,33.33 ,33.51 ,4325 ,33.51 
2019-08-19,33.53 ,34.80 ,29.52 ,32.61 ,276330 ,32.61 
2019-08-16,33.29 ,33.22 ,30.54 ,33.53 ,528 ,33.53 
