Date,Open,High,Low,Close,Volume,AdjClose
2020/5/18,32000 ,32550 ,32000 ,32550 ,58700 ,32550 
2020/5/15,31400 ,31500 ,31300 ,31500 ,53000 ,31500 
2020/5/14,31000 ,31400 ,31000 ,31400 ,46500 ,31400 
2020/5/13,33000 ,33000 ,30700 ,30700 ,96100 ,30700 
2020/5/12,36500 ,36500 ,33950 ,33950 ,75990 ,33950 
2020/5/11,37950 ,37950 ,37000 ,37000 ,23100 ,37000 
2020/5/8,38300 ,38300 ,38100 ,38150 ,48933 ,38150 
2020/5/7,38500 ,38500 ,38000 ,38300 ,68000 ,38300 
2020/5/6,38500 ,38500 ,38500 ,38500 ,5200 ,38500 
2020/5/4,39200 ,39200 ,39000 ,39000 ,2600 ,39000 
2020/4/29,39900 ,39900 ,39500 ,39500 ,262154 ,39500 
2020/4/28,40000 ,40000 ,39950 ,39950 ,307307 ,39950 
2020/4/27,40050 ,40050 ,40000 ,40000 ,41000 ,40000 
2020/4/24,40050 ,40100 ,40050 ,40050 ,86875 ,40050 
2020/4/23,40150 ,40200 ,40100 ,40100 ,13126 ,40100 
2020/4/22,40500 ,40550 ,40100 ,40150 ,50000 ,40150 
2020/4/21,40500 ,40600 ,40500 ,40500 ,30000 ,40500 
2020/4/20,40500 ,40550 ,40500 ,40500 ,69548 ,40500 
2020/4/17,40450 ,40500 ,40450 ,40500 ,50800 ,40500 
2020/4/16,40500 ,40500 ,40450 ,40450 ,33500 ,40450 
2020/4/14,40500 ,40500 ,40500 ,40500 ,54194 ,40500 
2020/4/13,40500 ,40500 ,40450 ,40500 ,57500 ,40500 
2020/4/10,40500 ,40500 ,40500 ,40500 ,13000 ,40500 
2020/4/9,40500 ,40500 ,40100 ,40500 ,36000 ,40500 
2020/4/8,40250 ,40500 ,40250 ,40500 ,7000 ,40500 
2020/4/7,40250 ,40300 ,40250 ,40250 ,8430 ,40250 
2020/4/6,40500 ,40500 ,40100 ,40150 ,10000 ,40150 
