Date,Open,High,Low,Close,Volume,Adj Close
2020/4/23,17.52,17.52,17.52,17.52,0,17.52
2020/4/22,17.52,17.52,17.52,17.52,0,17.52
2020/4/21,17.52,17.52,17.52,17.52,0,17.52
2020/4/20,17.52,17.52,17.52,17.52,201,17.52
2020/4/17,28.59,28.59,28.59,28.59,1006,28.59
2020/4/16,16.10,16.10,16.10,16.10,0,16.10
2020/4/15,16.10,16.10,16.10,16.10,0,16.10
2020/4/14,16.10,16.10,16.10,16.10,1,16.10
2020/4/13,15.56,15.56,15.56,15.56,0,15.56
2020/4/10,15.56,15.56,15.56,15.56,1,15.56
2020/4/9,18.49,18.49,18.49,18.49,0,18.49
2020/4/8,18.49,18.49,18.49,18.49,6,18.49
2020/4/7,19.91,19.91,19.91,19.91,0,19.91
2020/4/3,19.91,19.91,19.91,19.91,0,19.91
2020/4/2,19.91,19.91,19.91,19.91,0,19.91
2020/4/1,19.91,19.91,19.91,19.91,6,19.91
2020/3/31,16.94,16.94,16.94,16.94,0,16.94
2020/3/30,16.94,16.94,16.94,16.94,0,16.94
2020/3/27,16.94,16.94,16.94,16.94,1,16.94
2020/3/26,15.60,15.60,15.60,15.60,7,15.60
2020/3/25,11.00,11.00,11.00,11.00,0,11.00
2020/3/24,11.00,11.00,11.00,11.00,0,11.00
2020/3/23,11.00,11.00,11.00,11.00,0,11.00
2020/3/20,11.00,11.00,11.00,11.00,0,11.00
2020/3/19,11.00,11.00,11.00,11.00,0,11.00
2020/3/18,11.00,11.00,11.00,11.00,0,11.00
2020/3/17,11.00,11.00,11.00,11.00,0,11.00
2020/3/16,11.00,11.00,11.00,11.00,1,11.00
2020/3/13,17.31,17.31,17.31,17.31,0,17.31
2020/3/12,17.31,17.31,17.31,17.31,0,17.31
2020/3/11,17.31,17.31,17.31,17.31,1,17.31
2020/3/10,13.39,13.39,13.39,13.39,5,13.39
2020/3/9,12.84,12.84,12.84,12.84,4,12.84
2020/3/6,9.48,9.48,9.48,9.48,0,9.48
2020/3/5,9.48,9.48,9.48,9.48,0,9.48
2020/3/4,9.48,9.48,9.48,9.48,0,9.48
2020/3/3,9.48,9.48,9.48,9.48,0,9.48
2020/3/2,9.48,9.48,9.48,9.48,0,9.48
2020/2/28,9.48,9.48,9.48,9.48,0,9.48
2020/2/27,9.48,9.48,9.48,9.48,1,9.48
2020/2/26,8.62,8.62,8.62,8.62,1,8.62
2020/2/25,10.81,10.81,10.81,10.81,3,10.81
2020/2/25,10.81,10.81,10.81,10.81,3,10.81
2020/2/24,8.26,8.26,8.26,8.26,0,8.26
2020/2/21,8.26,8.26,8.26,8.26,3,8.26
2020/2/20,9.46,9.46,9.46,9.46,3,9.46
2020/2/19,8.60,8.60,8.60,8.60,3,8.60
